cpu_usage,memory_usage,io_wait,queue_length,context_switches,time_of_day,avg_burst_time,std_burst_time,avg_priority,avg_wait_time,max_wait_time,proc_remaining_time,proc_priority,proc_memory,proc_io_intensity,proc_wait_time,is_interactive,is_batch,is_real_time,selected_pid,time_quantum,expected_response_time,expected_cpu_util,algorithm_used,timestamp
100,0.0,0.0,0,7,9.5,11.087722378299834,10.020524396159392,4.0,22.714285714285715,26.5,0.0,2,40.873550643422064,0.6495233248973835,24.5,1,0,0,10,5.0,24.364361564199882,100,Round_Robin,33.5
100,0.0,0.0,0,12,6.0,10.401359584715358,9.54848047384083,4.230769230769231,41.53846153846154,44.5,0.0,1,104.03928862529601,0.3573763135020585,47.0,1,0,0,13,5.0,3.333197315468112,100,Round_Robin,54.0
100,0.0,0.0,0,13,9.0,11.055314999747269,9.654621660266411,4.25,44.5,47.5,0.0,4,138.4736775522067,0.3415611634348356,42.5,1,0,0,1,5.0,42.477705625353764,100,Round_Robin,57.0
100,0.0,0.0,0,16,21.0,11.003741200344011,9.350008237559148,4.545454545454546,55.40909090909091,59.5,0.0,1,188.76589169169236,0.4322014618814545,58.0,0,0,1,2,5.0,5.624355524252966,100,Round_Robin,69.0
100,0.0,0.0,0,21,19.0,9.9123164650556,9.435428162068364,4.5,75.25,79.5,0.0,5,146.1758251867819,0.558178486014951,79.5,1,0,0,7,5.0,20.42715616088961,100,Round_Robin,91.0
100,0.0,0.0,0,25,11.5,9.202487475596792,9.200127026543704,4.777777777777778,90.11111111111111,93.5,0.0,2,62.39795784538021,0.3716434214787907,92.0,0,0,1,3,5.0,38.89941628628955,100,Round_Robin,107.5
100,0.0,0.0,0,26,13.0,10.214526367550055,9.273867855332718,5.125,91.5625,95.0,0.0,2,170.4102712881847,0.31469334083903167,91.0,0,0,1,14,5.0,44.91330080525953,100,Round_Robin,109.0
100,0.0,0.0,0,28,20.5,10.665543567760482,8.613018593768814,5.571428571428571,98.78571428571429,102.5,0.0,2,15.882759380764437,0.38447625773520333,94.5,0,0,1,5,5.0,53.562256954778455,100,Round_Robin,116.5
100,0.0,0.0,0,29,23.0,12.077827351008176,8.51975855223634,6.333333333333333,101.91666666666667,105.0,0.0,1,174.18554400888735,0.49768817341350347,95.5,0,0,1,4,5.0,57.01055186265556,100,Round_Robin,119.0
100,0.0,0.0,0,30,2.0,13.938754956669943,8.144030551575852,6.6,104.3,108.0,0.0,5,87.5608783111204,0.1065202412102162,105.5,0,1,0,0,5.0,10.543058657825958,100,Round_Robin,122.0
100,0.0,0.0,0,33,16.0,13.954777269836583,5.6696366546069115,6.25,115.75,117.5,0.0,8,19.700095169151155,0.2328390523906343,116.0,0,1,0,11,5.0,31.192752324716515,100,Round_Robin,136.0
100,0.0,0.0,0,34,21.0,16.948877948998316,2.6459687991085614,7.333333333333333,120.16666666666667,122.5,0.0,3,33.908493304538396,0.664973596527503,118.0,1,0,0,8,5.0,34.40147312286493,100,Round_Robin,141.0
100,0.0,0.0,0,43,16.5,3.7384781969066125,0.9453672232755395,7.5,150.0,152.5,0.0,7,30.67623735062897,0.13262151002076789,152.0,0,1,0,12,5.0,26.606365002201343,100,Round_Robin,184.5
100,0.0,0.0,0,44,19.5,4.683845420182152,0.0,5.0,155.5,155.5,0.0,10,140.8843571410887,0.14534735822268885,148.0,0,1,0,6,5.0,47.72629666900282,100,Round_Robin,187.5
